comparisonID,image1,image2,win1,win2,tie
1,171fd1e43c3d1c6f,c88c969696868cd0,9,1,0
2,272cb8d5e0cadcf0,9cb7e2dde7a6e4e7,3,7,0
3,19809076b4b4b487,f03e31669a7644cb,4,6,0
4,1a68ca9c30c47033,3650a67268eca0a4,0,10,0
5,09a2626c1c9c3432,313139e9d3dad89d,9,0,1
6,1c81c0e46ae7a671,b3b33359ca97465b,6,0,4
7,52d29999c8c1e03e,862e10d989b89293,8,1,1
8,78664a0be2e1e144,c1933f2bffc6820b,9,1,0
9,7d3eac8c0c0c7cc0,90ca8e88c8c2eb70,1,9,0
10,683c91f17eb2b232,6869606496929a98,6,4,0
11,109ba7f262272e2e,9b9acf4f46dbdbc5,1,9,0
12,387ce8c397178ddb,5959736f67666666,9,0,1
13,0476cecfd959a070,26a6aa8ca4e485f5,3,7,0
14,4513f9d1d08d8eca,e2a8ccc0a881949a,1,9,0
15,9853ecda438ace33,f67060211935d1f4,4,6,0
16,84e0c1e2239f1858,dccc5414679a94c9,0,10,0
17,7078743435d7eaf9,7c79ffd66ad391b5,0,6,3
18,0c2c9c125c891936,d4b460cac6843458,7,0,3
19,09712c38c882064c,7b700b4711591959,5,4,1
20,020a2a5e1e1b5b7a,e5f3b3b371636963,8,1,1
21,71d149dc8c056446,b29199b164b2b399,9,1,0
22,7c7c642d0f0d0312,e3c7e72deee7c4e4,8,2,0
23,1e1e6ce5e5b599f9,c4627292868d1b5b,2,7,1
24,2829a5a78a939322,8c0cbc8c4e9e1b4c,0,10,0
25,d8cccd180cac9c54,f8edf318889692bb,6,3,1
26,5ecccd71b3939273,68b8fa5a282c9613,4,6,0
27,102445b3198c92b2,c14ee6a8bc972120,7,3,0
28,63d4d0c99a979392,63f3e4c1cdc4cb92,1,9,0
29,60e6ae3e6b68c8d8,8c98912b39923325,3,5,2
30,22d9d9cd6ecbce8f,6c6d382bc2cea652,0,7,3
31,e0f2f0703257bbb3,f0b4b4f2909090e2,10,0,0
32,d6746f66757672c9,d6da81142c3cb899,8,1,0
33,508a1313132d24bf,c2e2c2e4aeaad8c8,1,9,0
34,9e9be3e0e44a49a8,d0f03ab6e666daca,8,0,2
35,de8e4a4cc948d8c8,ee4facacf6c6a62e,1,9,0
36,373c99dabea737b9,bbbb5879948c7cb4,5,5,0
37,e323a7776ed82c0c,f1f1b3f2b1272786,5,5,0
38,bbb3b2fc25a4c6e6,e561f0f9f0f2de3a,5,5,0
39,15340e9b8ba3720a,3878f9f1dadee626,0,6,4
40,0d1eeeed8e17b184,dd286246d41999b9,0,8,2
41,1c10181ab6954841,81c9465664696666,8,1,1
42,a9abac2e3b9bdd4c,e3d362e4dc1b8c56,10,0,0
43,71a4b4dc94c46169,fefc6c14907b7bc6,1,8,1
44,1c16379b0b6559cd,8c9ec6773332f87c,7,3,0
45,78eaa5252e79486c,dcd05adcfde8ea4c,7,2,1
46,94f0f1696b4d3575,ecefcc4d7a7658e9,0,10,0
47,a5cd91b16deded45,f0c870a03230e5b0,0,9,1
48,1d91d0b23185af27,90d8d899e1e2a949,7,3,0
49,3bb3bb4a8c89ba33,c1421390b2b23271,0,7,3
50,04ccc691c1c1c1b0,96a6c6ccc4dd1f5d,10,0,0
51,b8ba7a7b1183d1a5,e9c9a8c8e6cdcccd,8,2,0
52,020205e69adcdc5c,800090d069b90008,7,2,1
53,4ec4c642090c080a,829180e865e3e935,7,3,0
54,4fcc2e4c4c8ca7a7,c1f9aa88d8da595b,6,1,3
55,9ef398bc71f9180d,f078ccd244a29d3f,8,2,0
56,65429298d1534f67,9cf38c8cee8c9ae3,8,2,0
57,89cd266930d45c18,e0f0e0e07161f1f0,2,8,0
58,29293a3ad9d0def0,4bc8cce166c5c499,8,2,0
59,2717373f95c6d1d1,d3ca6c59a98c8e86,8,2,0
60,0812326219337233,33e2f2e196d4db97,8,2,0
61,542e2a4869b236bc,dadbf269adbac20b,5,5,0
62,cd8e19859899a4ce,d04068b5a3e5e4e3,0,10,0
63,1101cccc84138c9c,daaee36ef0c2f0e0,8,2,0
64,d4d676a2f1e0f033,fbf3b1bd7fdd0dfe,3,6,1
65,48b4769e82c2caca,c1e2e1c65c9cb070,10,0,0
66,f0e010121029671f,f4c0c89c70501434,7,3,0
67,3f74243879d979b1,b2101226267b3cd2,4,5,1
68,73f3626361397b5b,d818d869596ccce9,5,5,0
69,40a8d4c6ce646a96,a92596bb7b5662e9,2,8,0
70,e08a9d1dcc4ccc8c,e131d9824ceb7b79,10,0,0
71,041cb024361a4b2b,69795a6a3a549787,6,4,0
72,3484a4d696321c4d,d0ceac3f37e4d3d1,6,3,1
73,30a970314a4e8eb6,c114e44c486848ca,10,0,0
74,7979f0a8c87999d9,98b898d09078909c,0,10,0
75,d898999bd80c1dbc,d93931260a3753b6,4,6,0
76,868c29783671d1d2,97d295d5d9d0d9d9,4,5,1
77,2850e2632d6d6a6a,8c4d4c089786be9c,7,1,2
78,19994f1b184f8311,b1e84968e874b489,8,1,1
79,3c38b036642d09c2,bbb9b8d8dbe7e437,10,0,0
80,6868d81e131a7861,beda7a2694949a9a,9,1,0
81,190ecdc6c6ab2e2e,222a9270d4f0f086,6,4,0
82,9a11852a0ca82329,e0a4a0c8cb5889b1,0,7,3
