row,image1,image2,win1,win2,tie
1,d8494832ccc4d0f8.jpeg,f7f9d97c98b5d892.jpeg,8,1,1
2,04c8f1704e5ad3f4.jpeg,82e168e961da0f0c.jpeg,4,3,3
3,04c8f1704e5ad3f4.jpeg,c8c8c8598982d552.jpeg,9,0,1
4,121f1e1513131265.jpeg,9ea0818dc88838aa.jpeg,9,0,1
5,070f0c0d5d142f00.jpeg,5797cfcfd633bcb6.jpeg,9,0,1
6,604478b9bbfbfbfe.jpeg,ca4766520a3f3ef2.jpeg,3,4,3
7,25711a6c6d249a32.jpeg,f0d42074a93138e2.jpeg,10,0,0
8,0d6969e6e6f1d256.jpeg,d9999dd477470f17.jpeg,10,0,0
9,13137376366e3713.jpeg,2dc9ccf4545595bd.jpeg,0,10,0
10,06646168d6dacc81.jpeg,7c6ceeeae1929a9c.jpeg,0,10,0
11,b292523253992925.jpeg,e06167fc3c9cecec.jpeg,0,8,2
12,9435ff9b1d54161b.jpeg,d69009b1c1c4d8c0.jpeg,5,5,0
13,8a2aca552d8b552d.jpeg,c888b18565091ad9.jpeg,4,5,1
14,27a7a2716be0b0b8.jpeg,4ccce4e138cd0e0b.jpeg,10,0,0
15,3830a3290c022868.jpeg,e7e6e7df3c706266.jpeg,0,10,0
16,090132f0d836324f.jpeg,9ec8013d4466c3c1.jpeg,6,3,1
17,1e5988858aa6b694.jpeg,3839b998b8b8d035.jpeg,1,9,0
18,4cb1b1287353131b.jpeg,df7f3f7f253b346c.jpeg,8,0,2
19,69e1e0f6d61b3430.jpeg,fbf2b6e139c7cf3f.jpeg,2,8,0
20,292199a931193945.jpeg,c10b98883a305199.jpeg,9,1,0
21,e6a7679ba4ccb185.jpeg,fce7e5b55a9535d6.jpeg,1,8,1
22,10c0f89d6bffdc9c.jpeg,e3675e9a9b934cb0.jpeg,0,10,0
23,8eacb434cd726264.jpeg,dece4a6260c14250.jpeg,0,6,4
24,a9617aaef886b4c1.jpeg,c7722c9e984ce86c.jpeg,4,5,1
25,c809098585c96dec.jpeg,ec9c0d4c18bc78cc.jpeg,0,9,1
26,1130316048686460.jpeg,32334efef09c8a90.jpeg,0,9,1
27,9bdb1e1e388bc79c.jpeg,e3e767e6a4a66843.jpeg,7,3,0
28,032353c6e6ea6a9e.jpeg,c7cfef9ebd7c525b.jpeg,10,0,0
29,2a2ac3ce90a4c726.jpeg,4bc09b1d64311107.jpeg,0,10,0
30,149270991a64a484.jpeg,333223191935c858.jpeg,10,0,0
31,6e664b6c0e0f0b1b.jpeg,c2f2defeba77d9d9.jpeg,10,0,0
32,686664bc919190f0.jpeg,6dd2da4cca8f0727.jpeg,3,6,1
33,34b9f9f1f99999a9.jpeg,65b5cb8a0a4a465a.jpeg,0,10,0
34,32334efef09c8a90.jpeg,f1b3f87cc0989d93.jpeg,9,0,1
35,4d60525c3c3e3e66.jpeg,66d3191382a2a020.jpeg,3,1,6
36,b9189c7c584252ec.jpeg,e4c6607931697676.jpeg,2,6,2
37,04c8f1704e5ad3f4.jpeg,afadca4a96bc7a7e.jpeg,1,9,0
